airline,departure_delay
"Horizon Air: QX",491
"Southwest Airlines Co.: WN",501
"Alaska Airlines Inc.: AS",613
"JetBlue Airways: B6",780
"Frontier Airlines Inc.: F9",808
"Republic Airline: YX",1141
"PSA Airlines Inc.: OH",1171
"Delta Air Lines Inc.: DL",1177
"Envoy Air: MQ",1290
"Allegiant Air: G4",1435
"Spirit Air Lines: NK",1503
"United Air Lines Inc.: UA",1581
"Mesa Airlines Inc.: YV",1630
"Hawaiian Airlines Inc.: HA",1757
"SkyWest Airlines Inc.: OO",1823
"Endeavor Air Inc.: 9E",1915
"American Airlines Inc.: AA",2791
