airport,reason,cancellations
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,24
"Abilene, TX: Abilene Regional",Weather,25
"Albuquerque, NM: Albuquerque International Sunport",Weather,37
"Waco, TX: Waco Regional",Weather,21
"Atlantic City, NJ: Atlantic City International",Weather,2
"Adak Island, AK: Adak",Weather,1
"Kodiak, AK: Kodiak Airport",Weather,4
"Alexandria, LA: Alexandria International",Weather,26
"Augusta, GA: Augusta Regional at Bush Field",Weather,4
"King Salmon, AK: King Salmon Airport",Weather,2
"Albany, NY: Albany International",Weather,14
"Waterloo, IA: Waterloo Regional","National Air System",1
"Waterloo, IA: Waterloo Regional",Carrier,1
"Walla Walla, WA: Walla Walla Regional",Weather,4
"Amarillo, TX: Rick Husband Amarillo International",Weather,31
"Anchorage, AK: Ted Stevens Anchorage International",Weather,19
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,75
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,429
"Appleton, WI: Appleton International",Weather,4
"Watertown, SD: Watertown Regional",Weather,2
"Austin, TX: Austin - Bergstrom International",Weather,404
"Asheville, NC: Asheville Regional",Weather,17
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,8
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,8
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Weather,2
"Hartford, CT: Bradley International",Weather,48
"Bethel, AK: Bethel Airport",Weather,4
"Bakersfield, CA: Meadows Field",Weather,7
"Bangor, ME: Bangor International",Weather,2
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,32
"Billings, MT: Billings Logan International",Weather,7
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,4
"Bellingham, WA: Bellingham International",Security,9
"Belleville, IL: Scott AFB/MidAmerica",Weather,4
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,8
"Nashville, TN: Nashville International",Weather,521
"Boise, ID: Boise Air Terminal",Weather,33
"Boston, MA: Logan International",Weather,187
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,6
"Brownsville, TX: Brownsville South Padre Island International",Weather,20
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,26
"Burlington, VT: Burlington International",Weather,2
"Buffalo, NY: Buffalo Niagara International",Weather,39
"Burbank, CA: Bob Hope",Weather,11
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,468
"Bozeman, MT: Bozeman Yellowstone International",Weather,19
"Columbia, SC: Columbia Metropolitan",Weather,7
"Akron, OH: Akron-Canton Regional",Weather,3
"Cold Bay, AK: Cold Bay Airport",Weather,2
"Cape Girardeau, MO: Cape Girardeau Regional",Weather,11
"Chattanooga, TN: Lovell Field",Weather,12
"Charlottesville, VA: Charlottesville Albemarle",Weather,2
"Charleston, SC: Charleston AFB/International",Weather,55
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,22
"Clarksburg/Fairmont, WV: North Central West Virginia",Weather,3
"Cleveland, OH: Cleveland-Hopkins International",Weather,63
