FlightDate,avg_flights_3_days
2021-02-01,12136.0000
2021-02-02,11067.5000
2021-02-03,10791.3333
2021-02-04,10848.3333
2021-02-05,11668.6667
2021-02-06,11718.6667
2021-02-07,11581.6667
2021-02-08,11490.3333
2021-02-09,11381.3333
2021-02-10,10905.6667
2021-02-11,11160.6667
2021-02-12,12242.0000
2021-02-13,12471.3333
2021-02-14,12251.6667
2021-02-15,12191.3333
2021-02-16,12062.0000
2021-02-17,11625.0000
2021-02-18,11611.3333
2021-02-19,12419.3333
2021-02-20,12486.0000
2021-02-21,12534.0000
2021-02-22,12453.6667
2021-02-23,12275.6667
2021-02-24,11508.0000
2021-02-25,11534.0000
2021-02-26,12379.3333
2021-02-27,12441.3333
2021-02-28,12501.3333
FlightDate,8107.3333
